,demand,prod_unit_0,state_unit_0,spin_res_unit_0,startup_cost_unit_0,shutdown_cost_unit_0,prod_unit_1,state_unit_1,spin_res_unit_1,startup_cost_unit_1,shutdown_cost_unit_1
0,166.4,166.4,1.0,16.64,100.0,0.0,0.0,0.0,0.0,0.0,10.0
1,156.0,156.0,1.0,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,150.8,150.8,1.0,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,145.6,145.6,1.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,145.6,145.6,1.0,14.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,150.8,150.8,1.0,15.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,166.4,166.4,1.0,16.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,197.6,197.6,1.0,19.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,226.2,220.0,1.0,0.0,0.0,0.0,6.2,1.0,22.62,20.0,20.0
9,247.0,220.0,1.0,0.0,0.0,0.0,27.0,1.0,24.7,0.0,0.0
10,257.4,220.0,1.0,0.0,0.0,0.0,37.4,1.0,25.74,0.0,0.0
11,260.0,220.0,1.0,0.0,0.0,0.0,40.0,1.0,26.0,0.0,0.0
12,257.4,220.0,1.0,0.0,0.0,0.0,37.4,1.0,25.74,0.0,0.0
13,260.0,220.0,1.0,0.0,0.0,0.0,40.0,1.0,26.0,0.0,0.0
14,260.0,220.0,1.0,0.0,0.0,0.0,40.0,1.0,26.0,0.0,0.0
15,252.2,220.0,1.0,0.0,0.0,0.0,32.2,1.0,25.22,0.0,0.0
16,249.6,220.0,1.0,0.0,0.0,0.0,29.6,1.0,24.96,0.0,0.0
17,249.6,220.0,1.0,0.0,0.0,0.0,29.6,1.0,24.96,0.0,0.0
18,241.8,220.0,1.0,0.0,0.0,0.0,21.8,1.0,24.18,0.0,0.0
19,239.2,220.0,1.0,0.0,0.0,0.0,19.2,1.0,23.92,0.0,0.0
20,239.2,220.0,1.0,0.0,0.0,0.0,19.2,1.0,23.92,0.0,0.0
21,241.8,220.0,1.0,0.0,0.0,0.0,21.8,1.0,24.18,0.0,0.0
22,226.2,220.0,1.0,0.0,0.0,0.0,6.2,1.0,22.62,0.0,0.0
23,187.2,187.2,1.0,18.72,0.0,0.0,0.0,0.0,0.0,0.0,0.0
